id,subject_type,subject_id,event_type,content,confidence,created_step
ME00000058,merchant,M00002332,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,442
ME00000059,merchant,M00003035,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,479
ME00000060,merchant,M00001037,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,637
ME00000061,customer,C000010567,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,674
ME00000062,merchant,M00002443,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,711
ME00000063,merchant,M00003960,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,310
ME00000064,customer,C000002660,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,347
ME00000065,customer,C000005908,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,459
ME00000066,merchant,M00001962,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,468
ME00000067,customer,C000007242,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,505
ME00000068,customer,C000010461,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,616
ME00000069,merchant,M00000667,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,663
ME00000070,customer,C000012897,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,700
ME00000071,merchant,M00002073,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,737
ME00000072,merchant,M00003590,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,336
ME00000073,customer,C000004990,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,373
ME00000074,merchant,M00001592,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,494
ME00000075,customer,C000009572,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,531
ME00000076,customer,C000012791,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,642
ME00000077,customer,C000014154,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,689
ME00000078,merchant,M00001000,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,726
ME00000079,merchant,M00001703,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,19
ME00000080,merchant,M00003220,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,362
ME00000081,customer,C000007320,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,399
ME00000082,merchant,M00001222,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,520
ME00000083,customer,C000011902,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,557
ME00000084,merchant,M00004034,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,668
ME00000085,merchant,M00000630,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,8
ME00000086,customer,C000018630,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,45
ME00000087,customer,C000003995,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,230
ME00000088,customer,C000006866,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,329
ME00000089,merchant,M00002850,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,388
ME00000090,customer,C000009650,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,425
ME00000091,merchant,M00000852,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,546
ME00000092,customer,C000014232,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,583
ME00000093,merchant,M00003664,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,694
ME00000094,merchant,M00000260,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,34
ME00000095,customer,C000000960,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,71
ME00000096,customer,C000006325,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,256
ME00000097,customer,C000009196,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,355
ME00000098,customer,C000010907,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,414
ME00000099,merchant,M00003183,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,451
ME00000100,customer,C000015489,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,572
ME00000101,merchant,M00001185,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,609
ME00000102,merchant,M00003294,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,720
ME00000103,customer,C000003290,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,97
ME00000104,customer,C000008655,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,282
ME00000105,merchant,M00004811,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,319
ME00000106,customer,C000013237,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,440
ME00000107,merchant,M00002813,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,477
ME00000108,customer,C000017819,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,598
ME00000109,merchant,M00000815,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,635
ME00000110,merchant,M00002924,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,2
ME00000111,customer,C000005620,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,123
ME00000112,customer,C000010985,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,308
ME00000113,merchant,M00004441,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,345
ME00000114,customer,C000015567,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,466
ME00000115,merchant,M00002443,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,503
ME00000116,merchant,M00000445,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,661
ME00000117,merchant,M00002554,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,28
ME00000118,customer,C000007660,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,139
ME00000119,customer,C000010154,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,225
ME00000120,merchant,M00003368,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,334
ME00000121,merchant,M00004071,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,371
ME00000122,customer,C000017897,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,492
ME00000123,merchant,M00002073,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,529
ME00000124,merchant,M00004885,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,677
ME00000125,merchant,M00000075,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,687
ME00000126,merchant,M00002184,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,54
ME00000127,customer,C000009990,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,165
ME00000128,merchant,M00004996,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,202
ME00000129,merchant,M00002998,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,360
ME00000130,merchant,M00003701,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,397
ME00000131,merchant,M00001000,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,518
ME00000132,merchant,M00001703,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,555
ME00000133,merchant,M00004515,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,703
ME00000134,customer,C000009101,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,80
ME00000135,customer,C000012320,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,191
ME00000136,merchant,M00004626,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,228
ME00000137,merchant,M00002628,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,386
ME00000138,customer,C000019048,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,423
ME00000139,merchant,M00000630,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,544
ME00000140,customer,C000003630,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,581
ME00000141,merchant,M00004145,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,729
ME00000142,customer,C000011431,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,106
ME00000143,customer,C000014650,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,217
ME00000144,merchant,M00004256,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,254
ME00000145,merchant,M00002258,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,412
ME00000146,customer,C000001378,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,449
ME00000147,merchant,M00000260,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,570
ME00000148,customer,C000005960,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,607
ME00000149,merchant,M00003775,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,11
ME00000150,customer,C000013761,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,132
ME00000151,merchant,M00003183,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,243
ME00000152,merchant,M00003886,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,280
ME00000153,merchant,M00001888,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,438
ME00000154,customer,C000003708,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,475
ME00000155,customer,C000008290,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,633
ME00000156,merchant,M00003405,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,37
ME00000157,merchant,M00004811,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,111
ME00000158,customer,C000016091,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,158
ME00000159,merchant,M00002813,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,269
ME00000160,customer,C000000383,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,306
ME00000161,merchant,M00001518,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,464
ME00000162,customer,C000006038,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,501
ME00000163,customer,C000010620,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,659
ME00000164,merchant,M00003035,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,63
ME00000165,merchant,M00004441,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,137
ME00000166,merchant,M00000334,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,184
ME00000167,merchant,M00002443,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,295
ME00000168,customer,C000002713,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,332
ME00000169,customer,C000007295,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,490
ME00000170,merchant,M00001851,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,527
ME00000171,customer,C000017242,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,89
ME00000172,merchant,M00004071,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,163
ME00000173,customer,C000000461,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,200
ME00000174,merchant,M00002073,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,321
ME00000175,customer,C000005043,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,358
ME00000176,customer,C000009625,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,516
ME00000177,merchant,M00001481,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,553
ME00000178,merchant,M00004996,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,738
ME00000179,customer,C000019572,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,115
ME00000180,merchant,M00003701,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,189
ME00000181,customer,C000002791,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,226
ME00000182,merchant,M00001703,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,347
ME00000183,customer,C000007373,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,384
ME00000184,customer,C000011955,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,542
ME00000185,merchant,M00001111,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,579
ME00000186,customer,C000016044,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,683
ME00000187,merchant,M00004626,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,20
ME00000188,customer,C000001902,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,141
ME00000189,customer,C000004048,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,215
ME00000190,merchant,M00004034,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,252
ME00000191,customer,C000008630,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,373
ME00000192,merchant,M00002036,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,410
ME00000193,customer,C000014285,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,568
ME00000194,merchant,M00000741,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,605
ME00000195,merchant,M00004256,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,46
ME00000196,customer,C000001796,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,83
ME00000197,customer,C000004232,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,167
ME00000198,customer,C000006378,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,241
ME00000199,merchant,M00003664,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,278
ME00000200,customer,C000010960,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,399
ME00000201,merchant,M00001666,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,436
ME00000202,merchant,M00000371,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,631
ME00000203,merchant,M00003886,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,72
ME00000204,customer,C000004126,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,109
ME00000205,merchant,M00001185,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,193
ME00000206,customer,C000008708,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,267
ME00000207,merchant,M00003294,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,304
ME00000208,customer,C000013290,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,425
ME00000209,merchant,M00001296,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,462
ME00000210,customer,C000017002,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,553
ME00000211,merchant,M00000001,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,657
ME00000212,customer,C000005383,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,98
ME00000213,merchant,M00004219,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,135
ME00000214,merchant,M00004922,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,172
ME00000215,merchant,M00000815,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,219
ME00000216,customer,C000011038,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,293
ME00000217,merchant,M00002924,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,330
ME00000218,customer,C000015620,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,451
ME00000219,merchant,M00000926,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,488
ME00000220,customer,C000019332,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,579
ME00000221,customer,C000007713,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,124
ME00000222,merchant,M00003849,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,161
ME00000223,merchant,M00004552,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,198
ME00000224,merchant,M00000445,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,245
ME00000225,merchant,M00001851,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,319
ME00000226,merchant,M00002554,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,356
ME00000227,merchant,M00000556,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,514
ME00000228,customer,C000005461,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,736
ME00000229,customer,C000010043,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,150
ME00000230,merchant,M00003479,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,187
ME00000231,customer,C000012189,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,224
ME00000232,merchant,M00000075,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,271
ME00000233,merchant,M00001481,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,345
ME00000234,merchant,M00002184,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,382
ME00000235,merchant,M00000186,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,540
ME00000236,customer,C000007791,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,18
ME00000237,customer,C000012373,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,176
ME00000238,merchant,M00003109,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,213
ME00000239,customer,C000014519,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,250
ME00000240,merchant,M00001111,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,371
ME00000241,customer,C000019101,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,408
ME00000242,customer,C000000290,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,449
ME00000243,merchant,M00004034,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,44
ME00000244,merchant,M00004737,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,81
ME00000245,merchant,M00002036,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,202
ME00000246,merchant,M00002739,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,239
ME00000247,customer,C000016849,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,276
ME00000248,merchant,M00000741,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,397
ME00000249,customer,C000001431,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,434
ME00000250,customer,C000002620,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,475
ME00000251,merchant,M00003664,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,70
ME00000252,merchant,M00004367,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,107
ME00000253,merchant,M00001666,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,228
ME00000254,merchant,M00002369,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,265
ME00000255,customer,C000019179,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,302
ME00000256,merchant,M00000371,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,423
ME00000257,customer,C000003761,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,460
ME00000258,merchant,M00003294,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,96
ME00000259,customer,C000015854,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,133
ME00000260,merchant,M00001296,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,254
ME00000261,customer,C000000436,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,291
ME00000262,merchant,M00002702,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,328
ME00000263,merchant,M00000001,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,449
ME00000264,customer,C000006091,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,486
ME00000265,merchant,M00004922,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,708
ME00000266,merchant,M00002924,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,122
ME00000267,customer,C000018184,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,159
ME00000268,merchant,M00000926,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,280
ME00000269,customer,C000002766,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,317
ME00000270,customer,C000003578,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,345
ME00000271,merchant,M00002332,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,354
ME00000272,merchant,M00000334,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,512
ME00000273,merchant,M00004552,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,734
ME00000274,merchant,M00002554,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,148
ME00000275,customer,C000000514,prior_fraud_pattern,Entity appears in a PaySim-style fraudulent transfer/cash-out chain.,0.9100,185
ME00000276,merchant,M00000556,risk_signal,Entity is connected to an elevated-risk payment flow.,0.7300,306
