case_id,source,target,edge_type,risk
RC00000022,D00047008,A00003334,linked_payout_account,70
RC00000022,A00003334,M00003590,pays_to,88
RC00000023,C000006885,D00000597,uses_device,90
RC00000023,D00000597,A00004925,linked_payout_account,92
RC00000023,A00004925,C000019990,pays_to,88
RC00000024,C000007977,D00008745,uses_device,64
RC00000024,D00008745,A00008537,linked_payout_account,70
RC00000024,A00008537,C000002426,pays_to,88
RC00000025,C000008458,D00012334,uses_device,90
RC00000025,D00012334,A00010128,linked_payout_account,92
RC00000025,A00010128,M00001592,pays_to,88
RC00000026,C000010993,D00031249,uses_device,64
RC00000026,D00031249,A00006513,linked_payout_account,70
RC00000026,A00006513,C000009154,pays_to,88
RC00000027,C000013398,D00049194,uses_device,64
RC00000027,D00049194,A00002468,linked_payout_account,70
RC00000027,A00002468,C000014519,pays_to,88
RC00000028,C000013879,D00002783,uses_device,64
RC00000028,D00002783,A00004059,linked_payout_account,70
RC00000028,A00004059,M00004515,pays_to,88
RC00000029,C000015933,D00018109,uses_device,64
RC00000029,D00018109,A00010853,linked_payout_account,70
RC00000029,A00010853,M00002517,pays_to,88
RC00000030,C000015985,D00018497,uses_device,90
RC00000030,D00018497,A00011025,linked_payout_account,92
RC00000030,A00011025,C000000290,pays_to,62
RC00000031,C000016414,D00021698,uses_device,64
RC00000031,D00021698,A00000444,linked_payout_account,70
RC00000031,A00000444,M00003220,pays_to,88
RC00000032,C000016895,D00025287,uses_device,90
RC00000032,D00025287,A00002035,linked_payout_account,92
RC00000032,A00002035,C000002320,pays_to,88
RC00000033,C000017987,D00033435,uses_device,64
RC00000033,D00033435,A00005647,linked_payout_account,70
RC00000033,A00005647,M00000519,pays_to,88
RC00000034,C000018468,D00037024,uses_device,90
RC00000034,D00037024,A00007238,linked_payout_account,92
RC00000034,A00007238,M00001222,pays_to,88
RC00000035,C000003408,D00023884,uses_device,64
RC00000035,D00023884,A00011578,linked_payout_account,70
RC00000035,A00011578,C000016849,pays_to,88
RC00000036,C000003889,D00027473,uses_device,64
RC00000036,D00027473,A00001169,linked_payout_account,70
RC00000036,A00001169,M00004145,pays_to,88
RC00000037,C000005943,D00042799,uses_device,64
RC00000037,D00042799,A00007963,linked_payout_account,70
RC00000037,A00007963,M00002147,pays_to,88
RC00000038,C000005995,D00043187,uses_device,90
RC00000038,D00043187,A00008135,linked_payout_account,92
RC00000038,A00008135,C000002620,pays_to,62
RC00000039,C000006424,D00046388,uses_device,64
RC00000039,D00046388,A00009554,linked_payout_account,70
RC00000039,A00009554,M00002850,pays_to,88
RC00000040,C000006905,D00049977,uses_device,90
RC00000040,D00049977,A00011145,linked_payout_account,92
RC00000040,A00011145,C000004650,pays_to,88
RC00000041,C000007997,D00008125,uses_device,64
RC00000041,D00008125,A00002757,linked_payout_account,70
RC00000041,A00002757,M00000149,pays_to,88
RC00000042,C000008478,D00011714,uses_device,90
RC00000042,D00011714,A00004348,linked_payout_account,92
RC00000042,A00004348,M00000852,pays_to,88
RC00000043,C000013418,D00048574,uses_device,64
RC00000043,D00048574,A00008688,linked_payout_account,70
RC00000043,A00008688,C000019179,pays_to,88
RC00000044,C000013899,D00002163,uses_device,64
RC00000044,D00002163,A00010279,linked_payout_account,70
RC00000044,A00010279,M00003775,pays_to,88
RC00000045,C000015953,D00017489,uses_device,64
RC00000045,D00017489,A00005073,linked_payout_account,70
RC00000045,A00005073,M00001777,pays_to,88
RC00000046,C000016434,D00021078,uses_device,64
RC00000046,D00021078,A00006664,linked_payout_account,70
RC00000046,A00006664,C000005907,pays_to,88
RC00000047,C000016915,D00024667,uses_device,90
RC00000047,D00024667,A00008255,linked_payout_account,92
RC00000047,A00008255,M00003183,pays_to,88
RC00000048,C000018488,D00036404,uses_device,90
RC00000048,D00036404,A00001458,linked_payout_account,92
RC00000048,A00001458,C000010489,pays_to,88
RC00000049,C000001374,D00007938,uses_device,64
RC00000049,D00007938,A00011004,linked_payout_account,70
RC00000049,A00011004,M00004700,pays_to,88
RC00000050,C000003428,D00023264,uses_device,64
RC00000050,D00023264,A00005798,linked_payout_account,70
RC00000050,A00005798,M00002702,pays_to,88
RC00000051,C000003909,D00026853,uses_device,64
RC00000051,D00026853,A00007389,linked_payout_account,70
RC00000051,A00007389,M00003405,pays_to,88
RC00000052,C000005963,D00042179,uses_device,64
RC00000052,D00042179,A00002183,linked_payout_account,70
RC00000052,A00002183,M00001407,pays_to,88
RC00000053,C000006444,D00045768,uses_device,64
RC00000053,D00045768,A00003774,linked_payout_account,70
RC00000053,A00003774,C000008237,pays_to,88
RC00000054,C000006925,D00049357,uses_device,90
RC00000054,D00049357,A00005365,linked_payout_account,92
RC00000054,A00005365,M00002813,pays_to,88
RC00000055,C000008498,D00011094,uses_device,90
RC00000055,D00011094,A00010568,linked_payout_account,92
RC00000055,A00010568,C000012819,pays_to,88
RC00000056,C000011384,D00032628,uses_device,64
RC00000056,D00032628,A00008114,linked_payout_account,70
RC00000056,A00008114,M00004330,pays_to,88
RC00000057,C000013321,D00047081,uses_device,90
RC00000057,D00047081,A00002521,linked_payout_account,92
RC00000057,A00002521,C000003578,pays_to,62
RC00000058,C000013438,D00047954,uses_device,64
RC00000058,D00047954,A00002908,linked_payout_account,70
RC00000058,A00002908,M00002332,pays_to,88
RC00000059,C000013919,D00001543,uses_device,64
RC00000059,D00001543,A00004499,linked_payout_account,70
RC00000059,A00004499,M00003035,pays_to,88
RC00000060,C000015973,D00016869,uses_device,64
RC00000060,D00016869,A00011293,linked_payout_account,70
RC00000060,A00011293,M00001037,pays_to,88
RC00000061,C000016454,D00020458,uses_device,64
RC00000061,D00020458,A00000884,linked_payout_account,70
RC00000061,A00000884,C000010567,pays_to,88
RC00000062,C000016935,D00024047,uses_device,90
RC00000062,D00024047,A00002475,linked_payout_account,92
RC00000062,A00002475,M00002443,pays_to,88
RC00000063,C000001394,D00007318,uses_device,64
RC00000063,D00007318,A00005224,linked_payout_account,70
RC00000063,A00005224,M00003960,pays_to,88
RC00000064,C000001875,D00010907,uses_device,64
RC00000064,D00010907,A00006815,linked_payout_account,70
RC00000064,A00006815,C000002660,pays_to,88
RC00000065,C000003331,D00021771,uses_device,90
RC00000065,D00021771,A00011631,linked_payout_account,92
RC00000065,A00011631,C000005908,pays_to,62
RC00000066,C000003448,D00022644,uses_device,64
RC00000066,D00022644,A00000018,linked_payout_account,70
RC00000066,A00000018,M00001962,pays_to,88
RC00000067,C000003929,D00026233,uses_device,64
RC00000067,D00026233,A00001609,linked_payout_account,70
RC00000067,A00001609,C000007242,pays_to,88
RC00000068,C000005372,D00037000,uses_device,90
RC00000068,D00037000,A00006382,linked_payout_account,92
RC00000068,A00006382,C000010461,pays_to,88
RC00000069,C000005983,D00041559,uses_device,64
RC00000069,D00041559,A00008403,linked_payout_account,70
RC00000069,A00008403,M00000667,pays_to,88
RC00000070,C000006464,D00045148,uses_device,64
RC00000070,D00045148,A00009994,linked_payout_account,70
RC00000070,A00009994,C000012897,pays_to,88
RC00000071,C000006945,D00048737,uses_device,90
RC00000071,D00048737,A00011585,linked_payout_account,92
RC00000071,A00011585,M00002073,pays_to,88
RC00000072,C000011404,D00032008,uses_device,64
RC00000072,D00032008,A00002334,linked_payout_account,70
RC00000072,A00002334,M00003590,pays_to,88
RC00000073,C000011885,D00035597,uses_device,64
RC00000073,D00035597,A00003925,linked_payout_account,70
RC00000073,A00003925,C000004990,pays_to,88
RC00000074,C000013458,D00047334,uses_device,64
RC00000074,D00047334,A00009128,linked_payout_account,70
RC00000074,A00009128,M00001592,pays_to,88
RC00000075,C000013939,D00000923,uses_device,64
RC00000075,D00000923,A00010719,linked_payout_account,70
RC00000075,A00010719,C000009572,pays_to,88
RC00000076,C000015382,D00011690,uses_device,90
RC00000076,D00011690,A00003492,linked_payout_account,92
RC00000076,A00003492,C000012791,pays_to,88
RC00000077,C000015993,D00016249,uses_device,64
RC00000077,D00016249,A00005513,linked_payout_account,70
RC00000077,A00005513,C000014154,pays_to,88
RC00000078,C000016474,D00019838,uses_device,64
RC00000078,D00019838,A00007104,linked_payout_account,70
RC00000078,A00007104,M00001000,pays_to,88
RC00000079,C000016955,D00023427,uses_device,90
RC00000079,D00023427,A00008695,linked_payout_account,92
RC00000079,A00008695,M00001703,pays_to,88
RC00000080,C000001414,D00006698,uses_device,64
RC00000080,D00006698,A00011444,linked_payout_account,70
RC00000080,A00011444,M00003220,pays_to,88
RC00000081,C000001895,D00010287,uses_device,64
RC00000081,D00010287,A00001035,linked_payout_account,70
RC00000081,A00001035,C000007320,pays_to,88
RC00000082,C000003468,D00022024,uses_device,64
RC00000082,D00022024,A00006238,linked_payout_account,70
RC00000082,A00006238,M00001222,pays_to,88
RC00000083,C000003949,D00025613,uses_device,64
RC00000083,D00025613,A00007829,linked_payout_account,70
RC00000083,A00007829,C000011902,pays_to,88
RC00000084,C000005392,D00036380,uses_device,90
RC00000084,D00036380,A00000602,linked_payout_account,92
RC00000084,A00000602,M00004034,pays_to,88
RC00000085,C000006484,D00044528,uses_device,64
RC00000085,D00044528,A00004214,linked_payout_account,70
RC00000085,A00004214,M00000630,pays_to,88
RC00000086,C000006965,D00048117,uses_device,90
RC00000086,D00048117,A00005805,linked_payout_account,92
RC00000086,A00005805,C000018630,pays_to,88
RC00000087,C000009370,D00016062,uses_device,64
RC00000087,D00016062,A00001760,linked_payout_account,70
RC00000087,A00001760,C000003995,pays_to,88
RC00000088,C000010657,D00025665,uses_device,90
RC00000088,D00025665,A00006017,linked_payout_account,92
RC00000088,A00006017,C000006866,pays_to,62
RC00000089,C000011424,D00031388,uses_device,64
RC00000089,D00031388,A00008554,linked_payout_account,70
RC00000089,A00008554,M00002850,pays_to,88
RC00000090,C000011905,D00034977,uses_device,64
RC00000090,D00034977,A00010145,linked_payout_account,70
RC00000090,A00010145,C000009650,pays_to,88
RC00000091,C000013478,D00046714,uses_device,64
RC00000091,D00046714,A00003348,linked_payout_account,70
RC00000091,A00003348,M00000852,pays_to,88
RC00000092,C000013959,D00000303,uses_device,64
RC00000092,D00000303,A00004939,linked_payout_account,70
RC00000092,A00004939,C000014232,pays_to,88
RC00000093,C000015402,D00011070,uses_device,90
RC00000093,D00011070,A00009712,linked_payout_account,92
RC00000093,A00009712,M00003664,pays_to,88
RC00000094,C000016494,D00019218,uses_device,64
RC00000094,D00019218,A00001324,linked_payout_account,70
RC00000094,A00001324,M00000260,pays_to,88
RC00000095,C000016975,D00022807,uses_device,90
RC00000095,D00022807,A00002915,linked_payout_account,92
RC00000095,A00002915,C000000960,pays_to,88
RC00000096,C000019380,D00040752,uses_device,64
RC00000096,D00040752,A00010870,linked_payout_account,70
RC00000096,A00010870,C000006325,pays_to,88
RC00000097,C000000667,D00000355,uses_device,90
RC00000097,D00000355,A00003127,linked_payout_account,92
RC00000097,A00003127,C000009196,pays_to,62
RC00000098,C000001434,D00006078,uses_device,64
RC00000098,D00006078,A00005664,linked_payout_account,70
RC00000098,A00005664,C000010907,pays_to,88
RC00000099,C000001915,D00009667,uses_device,64
RC00000099,D00009667,A00007255,linked_payout_account,70
RC00000099,A00007255,M00003183,pays_to,88
RC00000100,C000003488,D00021404,uses_device,64
RC00000100,D00021404,A00000458,linked_payout_account,70
RC00000100,A00000458,C000015489,pays_to,88
RC00000101,C000003969,D00024993,uses_device,64
RC00000101,D00024993,A00002049,linked_payout_account,70
RC00000101,A00002049,M00001185,pays_to,88
RC00000102,C000005412,D00035760,uses_device,90
RC00000102,D00035760,A00006822,linked_payout_account,92
RC00000102,A00006822,M00003294,pays_to,88
RC00000103,C000006985,D00047497,uses_device,90
RC00000103,D00047497,A00000025,linked_payout_account,92
RC00000103,A00000025,C000003290,pays_to,88
RC00000104,C000009390,D00015442,uses_device,64
RC00000104,D00015442,A00007980,linked_payout_account,70
RC00000104,A00007980,C000008655,pays_to,88
RC00000105,C000009871,D00019031,uses_device,64
RC00000105,D00019031,A00009571,linked_payout_account,70
RC00000105,A00009571,M00004811,pays_to,88
RC00000106,C000011444,D00030768,uses_device,64
RC00000106,D00030768,A00002774,linked_payout_account,70
RC00000106,A00002774,C000013237,pays_to,88
RC00000107,C000011925,D00034357,uses_device,64
RC00000107,D00034357,A00004365,linked_payout_account,70
RC00000107,A00004365,M00002813,pays_to,88
RC00000108,C000013498,D00046094,uses_device,64
RC00000108,D00046094,A00009568,linked_payout_account,70
RC00000108,A00009568,C000017819,pays_to,88
RC00000109,C000013979,D00049683,uses_device,64
RC00000109,D00049683,A00011159,linked_payout_account,70
RC00000109,A00011159,M00000815,pays_to,88
RC00000110,C000015422,D00010450,uses_device,90
RC00000110,D00010450,A00003932,linked_payout_account,92
RC00000110,A00003932,M00002924,pays_to,88
RC00000111,C000016995,D00022187,uses_device,90
RC00000111,D00022187,A00009135,linked_payout_account,92
RC00000111,A00009135,C000005620,pays_to,88
RC00000112,C000019400,D00040132,uses_device,64
RC00000112,D00040132,A00005090,linked_payout_account,70
RC00000112,A00005090,C000010985,pays_to,88
RC00000113,C000019881,D00043721,uses_device,64
RC00000113,D00043721,A00006681,linked_payout_account,70
RC00000113,A00006681,M00004441,pays_to,88
RC00000114,C000001454,D00005458,uses_device,64
RC00000114,D00005458,A00011884,linked_payout_account,70
RC00000114,A00011884,C000015567,pays_to,88
RC00000115,C000001935,D00009047,uses_device,64
RC00000115,D00009047,A00001475,linked_payout_account,70
RC00000115,A00001475,M00002443,pays_to,88
RC00000116,C000003989,D00024373,uses_device,64
RC00000116,D00024373,A00008269,linked_payout_account,70
RC00000116,A00008269,M00000445,pays_to,88
RC00000117,C000005432,D00035140,uses_device,90
RC00000117,D00035140,A00001042,linked_payout_account,92
RC00000117,A00001042,M00002554,pays_to,88
RC00000118,C000006875,D00045907,uses_device,64
RC00000118,D00045907,A00005815,linked_payout_account,70
RC00000118,A00005815,C000007660,pays_to,88
RC00000119,C000007993,D00004249,uses_device,90
RC00000119,D00004249,A00009513,linked_payout_account,92
RC00000119,A00009513,C000010154,pays_to,62
RC00000120,C000009410,D00014822,uses_device,64
RC00000120,D00014822,A00002200,linked_payout_account,70
RC00000120,A00002200,M00003368,pays_to,88
RC00000121,C000009891,D00018411,uses_device,64
RC00000121,D00018411,A00003791,linked_payout_account,70
RC00000121,A00003791,M00004071,pays_to,88
RC00000122,C000011464,D00030148,uses_device,64
RC00000122,D00030148,A00008994,linked_payout_account,70
RC00000122,A00008994,C000017897,pays_to,88
RC00000123,C000011945,D00033737,uses_device,64
RC00000123,D00033737,A00010585,linked_payout_account,70
RC00000123,A00010585,M00002073,pays_to,88
RC00000124,C000013869,D00048093,uses_device,64
RC00000124,D00048093,A00004949,linked_payout_account,70
RC00000124,A00004949,M00004885,pays_to,88
RC00000125,C000013999,D00049063,uses_device,64
RC00000125,D00049063,A00005379,linked_payout_account,70
RC00000125,A00005379,M00000075,pays_to,88
RC00000126,C000015442,D00009830,uses_device,90
RC00000126,D00009830,A00010152,linked_payout_account,92
RC00000126,A00010152,M00002184,pays_to,88
RC00000127,C000016885,D00020597,uses_device,64
RC00000127,D00020597,A00002925,linked_payout_account,70
RC00000127,A00002925,C000009990,pays_to,88
RC00000128,C000017366,D00024186,uses_device,64
RC00000128,D00024186,A00004516,linked_payout_account,70
RC00000128,A00004516,M00004996,pays_to,88
RC00000129,C000019420,D00039512,uses_device,64
RC00000129,D00039512,A00011310,linked_payout_account,70
RC00000129,A00011310,M00002998,pays_to,88
RC00000130,C000019901,D00043101,uses_device,64
RC00000130,D00043101,A00000901,linked_payout_account,70
RC00000130,A00000901,M00003701,pays_to,88
RC00000131,C000001474,D00004838,uses_device,64
RC00000131,D00004838,A00006104,linked_payout_account,70
RC00000131,A00006104,M00001000,pays_to,88
RC00000132,C000001955,D00008427,uses_device,64
RC00000132,D00008427,A00007695,linked_payout_account,70
RC00000132,A00007695,M00001703,pays_to,88
RC00000133,C000003879,D00022783,uses_device,64
RC00000133,D00022783,A00002059,linked_payout_account,70
RC00000133,A00002059,M00004515,pays_to,88
RC00000134,C000005452,D00034520,uses_device,90
RC00000134,D00034520,A00007262,linked_payout_account,92
RC00000134,A00007262,C000009101,pays_to,88
RC00000135,C000006895,D00045287,uses_device,64
RC00000135,D00045287,A00000035,linked_payout_account,70
RC00000135,A00000035,C000012320,pays_to,88
RC00000136,C000007376,D00048876,uses_device,64
RC00000136,D00048876,A00001626,linked_payout_account,70
RC00000136,A00001626,M00004626,pays_to,88
RC00000137,C000009430,D00014202,uses_device,64
RC00000137,D00014202,A00008420,linked_payout_account,70
RC00000137,A00008420,M00002628,pays_to,88
RC00000138,C000009911,D00017791,uses_device,64
RC00000138,D00017791,A00010011,linked_payout_account,70
RC00000138,A00010011,C000019048,pays_to,88
RC00000139,C000011484,D00029528,uses_device,64
RC00000139,D00029528,A00003214,linked_payout_account,70
RC00000139,A00003214,M00000630,pays_to,88
RC00000140,C000011965,D00033117,uses_device,64
RC00000140,D00033117,A00004805,linked_payout_account,70
RC00000140,A00004805,C000003630,pays_to,88
RC00000141,C000013889,D00047473,uses_device,64
RC00000141,D00047473,A00011169,linked_payout_account,70
RC00000141,A00011169,M00004145,pays_to,88
RC00000142,C000015462,D00009210,uses_device,90
RC00000142,D00009210,A00004372,linked_payout_account,92
RC00000142,A00004372,C000011431,pays_to,88
RC00000143,C000016905,D00019977,uses_device,64
RC00000143,D00019977,A00009145,linked_payout_account,70
RC00000143,A00009145,C000014650,pays_to,88
RC00000144,C000017386,D00023566,uses_device,64
RC00000144,D00023566,A00010736,linked_payout_account,70
RC00000144,A00010736,M00004256,pays_to,88
RC00000145,C000019440,D00038892,uses_device,64
RC00000145,D00038892,A00005530,linked_payout_account,70
RC00000145,A00005530,M00002258,pays_to,88
RC00000146,C000019921,D00042481,uses_device,64
RC00000146,D00042481,A00007121,linked_payout_account,70
RC00000146,A00007121,C000001378,pays_to,88
RC00000147,C000001494,D00004218,uses_device,64
RC00000147,D00004218,A00000324,linked_payout_account,70
RC00000147,A00000324,M00000260,pays_to,88
RC00000148,C000001975,D00007807,uses_device,64
RC00000148,D00007807,A00001915,linked_payout_account,70
RC00000148,A00001915,C000005960,pays_to,88
RC00000149,C000003899,D00022163,uses_device,64
RC00000149,D00022163,A00008279,linked_payout_account,70
RC00000149,A00008279,M00003775,pays_to,88
RC00000150,C000005472,D00033900,uses_device,90
RC00000150,D00033900,A00001482,linked_payout_account,92
RC00000150,A00001482,C000013761,pays_to,88
RC00000151,C000006915,D00044667,uses_device,64
RC00000151,D00044667,A00006255,linked_payout_account,70
RC00000151,A00006255,M00003183,pays_to,88
RC00000152,C000007396,D00048256,uses_device,64
RC00000152,D00048256,A00007846,linked_payout_account,70
RC00000152,A00007846,M00003886,pays_to,88
RC00000153,C000009450,D00013582,uses_device,64
RC00000153,D00013582,A00002640,linked_payout_account,70
RC00000153,A00002640,M00001888,pays_to,88
RC00000154,C000009931,D00017171,uses_device,64
RC00000154,D00017171,A00004231,linked_payout_account,70
RC00000154,A00004231,C000003708,pays_to,88
RC00000155,C000011985,D00032497,uses_device,64
RC00000155,D00032497,A00011025,linked_payout_account,70
RC00000155,A00011025,C000008290,pays_to,88
RC00000156,C000013909,D00046853,uses_device,64
RC00000156,D00046853,A00005389,linked_payout_account,70
RC00000156,A00005389,M00003405,pays_to,88
RC00000157,C000014871,D00004031,uses_device,64
RC00000157,D00004031,A00008571,linked_payout_account,70
RC00000157,A00008571,M00004811,pays_to,88
RC00000158,C000015482,D00008590,uses_device,90
RC00000158,D00008590,A00010592,linked_payout_account,92
RC00000158,A00010592,C000016091,pays_to,88
RC00000159,C000016925,D00019357,uses_device,64
RC00000159,D00019357,A00003365,linked_payout_account,70
RC00000159,A00003365,M00002813,pays_to,88
RC00000160,C000017406,D00022946,uses_device,64
RC00000160,D00022946,A00004956,linked_payout_account,70
RC00000160,A00004956,C000000383,pays_to,88
RC00000161,C000019460,D00038272,uses_device,64
RC00000161,D00038272,A00011750,linked_payout_account,70
RC00000161,A00011750,M00001518,pays_to,88
RC00000162,C000019941,D00041861,uses_device,64
RC00000162,D00041861,A00001341,linked_payout_account,70
RC00000162,A00001341,C000006038,pays_to,88
RC00000163,C000001995,D00007187,uses_device,64
RC00000163,D00007187,A00008135,linked_payout_account,70
RC00000163,A00008135,C000010620,pays_to,88
RC00000164,C000003919,D00021543,uses_device,64
RC00000164,D00021543,A00002499,linked_payout_account,70
RC00000164,A00002499,M00003035,pays_to,88
RC00000165,C000004881,D00028721,uses_device,64
RC00000165,D00028721,A00005681,linked_payout_account,70
RC00000165,A00005681,M00004441,pays_to,88
RC00000166,C000005492,D00033280,uses_device,90
RC00000166,D00033280,A00007702,linked_payout_account,92
RC00000166,A00007702,M00000334,pays_to,88
RC00000167,C000006935,D00044047,uses_device,64
RC00000167,D00044047,A00000475,linked_payout_account,70
RC00000167,A00000475,M00002443,pays_to,88
RC00000168,C000007416,D00047636,uses_device,64
RC00000168,D00047636,A00002066,linked_payout_account,70
RC00000168,A00002066,C000002713,pays_to,88
RC00000169,C000009470,D00012962,uses_device,64
RC00000169,D00012962,A00008860,linked_payout_account,70
RC00000169,A00008860,C000007295,pays_to,88
RC00000170,C000009951,D00016551,uses_device,64
RC00000170,D00016551,A00010451,linked_payout_account,70
RC00000170,A00010451,M00001851,pays_to,88
RC00000171,C000013929,D00046233,uses_device,64
RC00000171,D00046233,A00011609,linked_payout_account,70
RC00000171,A00011609,C000017242,pays_to,88
RC00000172,C000014891,D00003411,uses_device,64
RC00000172,D00003411,A00002791,linked_payout_account,70
RC00000172,A00002791,M00004071,pays_to,88
RC00000173,C000015372,D00007000,uses_device,64
RC00000173,D00007000,A00004382,linked_payout_account,70
RC00000173,A00004382,C000000461,pays_to,88
RC00000174,C000016945,D00018737,uses_device,64
RC00000174,D00018737,A00009585,linked_payout_account,70
RC00000174,A00009585,M00002073,pays_to,88
RC00000175,C000017426,D00022326,uses_device,64
RC00000175,D00022326,A00011176,linked_payout_account,70
RC00000175,A00011176,C000005043,pays_to,88
RC00000176,C000019480,D00037652,uses_device,64
RC00000176,D00037652,A00005970,linked_payout_account,70
RC00000176,A00005970,C000009625,pays_to,88
RC00000177,C000019961,D00041241,uses_device,64
RC00000177,D00041241,A00007561,linked_payout_account,70
RC00000177,A00007561,M00001481,pays_to,88
RC00000178,C000002366,D00009186,uses_device,64
RC00000178,D00009186,A00003516,linked_payout_account,70
RC00000178,A00003516,M00004996,pays_to,88
RC00000179,C000003939,D00020923,uses_device,64
RC00000179,D00020923,A00008719,linked_payout_account,70
RC00000179,A00008719,C000019572,pays_to,88
RC00000180,C000004901,D00028101,uses_device,64
RC00000180,D00028101,A00011901,linked_payout_account,70
RC00000180,A00011901,M00003701,pays_to,88
RC00000181,C000005382,D00031690,uses_device,64
RC00000181,D00031690,A00001492,linked_payout_account,70
RC00000181,A00001492,C000002791,pays_to,88
RC00000182,C000006955,D00043427,uses_device,64
RC00000182,D00043427,A00006695,linked_payout_account,70
RC00000182,A00006695,M00001703,pays_to,88
RC00000183,C000007436,D00047016,uses_device,64
RC00000183,D00047016,A00008286,linked_payout_account,70
RC00000183,A00008286,C000007373,pays_to,88
RC00000184,C000009490,D00012342,uses_device,64
RC00000184,D00012342,A00003080,linked_payout_account,70
RC00000184,A00003080,C000011955,pays_to,88
RC00000185,C000009971,D00015931,uses_device,64
RC00000185,D00015931,A00004671,linked_payout_account,70
RC00000185,A00004671,M00001111,pays_to,88
RC00000186,C000011323,D00026019,uses_device,90
RC00000186,D00026019,A00009143,linked_payout_account,92
RC00000186,A00009143,C000016044,pays_to,62
RC00000187,C000012376,D00033876,uses_device,64
RC00000187,D00033876,A00000626,linked_payout_account,70
RC00000187,A00000626,M00004626,pays_to,88
RC00000188,C000013949,D00045613,uses_device,64
RC00000188,D00045613,A00005829,linked_payout_account,70
RC00000188,A00005829,C000001902,pays_to,88
RC00000189,C000014911,D00002791,uses_device,64
RC00000189,D00002791,A00009011,linked_payout_account,70
RC00000189,A00009011,C000004048,pays_to,88
RC00000190,C000015392,D00006380,uses_device,64
RC00000190,D00006380,A00010602,linked_payout_account,70
RC00000190,A00010602,M00004034,pays_to,88
RC00000191,C000016965,D00018117,uses_device,64
RC00000191,D00018117,A00003805,linked_payout_account,70
RC00000191,A00003805,C000008630,pays_to,88
RC00000192,C000017446,D00021706,uses_device,64
RC00000192,D00021706,A00005396,linked_payout_account,70
RC00000192,A00005396,M00002036,pays_to,88
RC00000193,C000019500,D00037032,uses_device,64
RC00000193,D00037032,A00000190,linked_payout_account,70
RC00000193,A00000190,C000014285,pays_to,88
RC00000194,C000019981,D00040621,uses_device,64
RC00000194,D00040621,A00001781,linked_payout_account,70
RC00000194,A00001781,M00000741,pays_to,88
